Symbol,Full_Name
AE,Agate
AI,Alunite
AM,Amber
AY,Amethyst
AD,Andalusite
AN,Anhydrite
AX,Anthraxolite
SB,Antimony
AP,Apatite
AS,Arsenic
AB,Asbestos
BA,Barite
BN,Bentonite
BY,Beryl
BE,Beryllium
BI,Bismuth
CD,Cadmium
CT,Calcite
CE,Cerium
CS,Cesium
CR,Chromium
CH,Chrysotile
CL,Coal
CO,Cobalt
CU,Copper
CM,Corundum
DI,Diamond
DL,Dolomitic Ls
FD,Feldspar
FL,Fluorite
GA,Gallium
GN,Garnet
GS,Gemstones
GE,Germanium
AU,Gold
GR,Granite
GT,Graphite
GY,Gypsum
HM,Hydromagnesite
IN,Indium
IR,Iridium
FE,Iron
JD,Jade/Nephrite
KA,Kaolinite
KY,Kyanite
PB,Lead
LS,Limestone
LI,Lithium
MT,Magnesite
MG,Magnesium
MS,Magnesium Sulphate
MA,Magnetite
MN,Manganese
HG,Mercury
MI,Mica
MO,Molybdenum
NS,Nepheline Syenite
NI,Nickel
NB,Niobium
OS,Osmium
PD,Palladium
PP,Phosphate
PT,Platinum
PO,Potash
PY,Pyrochlore
PL,Pyrophyllite
RA,Radium
RE,Rhenium
RH,Rhodium
RO,Rhodonite
RM,Rubidium
RY,Ruby
RU,Ruthenium
SM,Samarium
SE,Selenium
SI,Silica
AG,Silver
NC,Sodium Chloride
SR,Strontium
SU,Sulphur
TC,Talc
TA,Tantalum
TE,Tellurium
TH,Thorium
SN,Tin
TI,Titanium
WO,Tungsten
UR,Uranium
VA,Vanadium
WL,Wollastonite
ZN,Zinc
