Critical Minerals List,Symbol
Aluminum,Al,
Antimony,Sb,
Bismuth,Bi,
Cesium,Cs,
Chromium,Cr,
Cobalt,Co,
Copper,Cu,
Fluorspar,Fl,
Gallium,Ga,
Germanium,Ge,
Graphite,C,
Helium,He,
Indium,In,
Lithium,Li,
Magnesium,Mg,
Manganese,Mn,
Molybdenum,Mo,
Nickel,Ni,
Niobium,Nb,
Platinum Group Metals,PGM,broken out in green
Platinum,Pt,
Palladium,Pd,
Rhodium,Rh,
Ruthenium,Ru,
Iridium,Ir,
Osmium,Os,
Potash,Potash,BREAK OUT? (Suggest leaving as is for now)
Rare Earth Elements,REE,broken out in purple
Scandium,Sc,
Yttrium,Y,
Lanthanum,La,
Cerium,Ce,
Praseodymium,Pr,
Neodymium,Nd,
Promethium,Pm,
Samarium,Sm,
Europium,Eu,
Gadolinium,Gd,
Terbium,Tb,
Dysprosium,Dy,
Holmium,Ho,
Erbium,Er,
Thulium,Tm,
Ytterbium,Yb,
Lutetium,Lu,
Actinium,Ac,
Thorium,Th,
Protactinium,Pa,
Uranium,U,
Neptunium,Np,
Plutonium,Pu,
Americium,Am,
Curium,Cm,
Berkelium,Bk,
Californium,Cf,
Einsteinium,Es,
Fermium,Fm,
Mendelevium,Md,
Nobelium,No,
Lawrencium,Lr,
Tantalum,Ta,
Tellurium,Te,
Tin,Sn,
Titanium,Ti,
Tungsten,W,
Vanadium,V,
Zinc,Zn,
